drive,target_m,i0,i1,dist_m,dur_s,speed_kmh,cal_scale,err_frozen,err_AI + gyro,err_AI + road,err_perfect + road,err_AI cal + road
S-S2,500.0,29856,30396,608.7267791002669,54.0,40.58178527335112,0.9885832932262741,558.1910646375215,62.68928914250565,24.6391000716031,3.9518146245263317,17.48796639150567
S-S2,500.0,30036,30487,502.0677820585588,45.09999999999991,40.07636397806686,0.9074103919519902,467.0343873256321,500.6792035495353,11.073328612625856,5.518977455659908,38.16155987534717
S-S2,500.0,30306,30757,519.5251666859658,45.09999999999991,41.46985809466698,0.8234322564210725,498.6834947287647,24.372878970591554,33.514353821823725,4.248400481417207,119.881238741629
S-S2,500.0,30487,31227,537.3301641861617,74.0,26.140386365813274,0.8973380893444771,533.9223383491621,191.9595860889738,129.77087979888327,5.1048695785830684,61.02502900154572
S-S2,500.0,30757,31496,513.5261785002403,73.90000000000009,25.016160251703152,0.9507961350211057,504.69014053108714,331.196845726617,325.6091701240547,4.910947935735827,284.1902968396821
S-S2,500.0,31136,31676,504.93176937879616,54.0,33.662117958586414,0.9271450939765065,493.9229207420796,241.25161457464378,210.0378848907857,2.3021429440909325,157.79084700643827
S-S2,500.0,31496,32646,517.0253085362601,115.0,16.185140093309013,0.8,430.305323991449,445.57564116135967,125.37997641402394,5.336156013255526,4.669199701994539
S-S2,500.0,31676,32916,553.4602712860978,124.0,16.0682014244351,0.8,453.07238945804005,1059.7095908846168,214.8208642962887,5.944520081753307,62.19846020208273
S-S2,500.0,32466,33436,598.0286049201495,97.0,22.19487605889215,0.8,572.3835920567633,443.4712894126052,34.48046539291465,0.9100754942081383,91.56091478958808
S-S2,500.0,32826,34547,506.7961038947178,172.0999999999999,10.601196827547852,0.8,397.41118453251374,173.76150732245796,45.618223583758045,32.590167876281136,82.44699272900947
S-S2,500.0,33346,34816,519.5055521202485,147.0,12.722584949883636,0.8295260813721397,381.5591822645416,282.02505997471286,13.158615734568736,27.659786264872853,94.49838600531403
S-S2,500.0,34547,36226,555.7545266900888,167.9000000000001,11.916118499608807,0.9154716821811549,508.3664991310487,923.3395070225189,60.63963539292667,6.967708664322721,86.8078564718584
S-S2,500.0,34816,36586,540.434937007456,177.0,10.991897023880462,0.9736043580049979,450.5270140122278,347.947826614333,46.644486354977815,5.625126378007201,31.04524953428488
S-S2,500.0,36226,37036,558.0125677248034,81.0,24.80055856554682,1.006581317838967,447.95222901070815,786.6971616564435,128.7138699746648,8.39027678311086,133.28413396877318
S-S2,500.0,36496,37306,511.37947407253887,81.0,22.72797662544617,0.8638750055088343,344.8830668423336,422.6143091712571,196.77069021697716,9.00432713455963,99.40519277581026
S-S2,500.0,36946,37666,570.0062915014641,72.0,28.500314575073205,0.8,218.5543337982444,457.2675055666086,257.0488578413112,116.16052079264867,114.86995421577575
S-S2,500.0,37306,37846,517.2600944946462,54.0,34.484006299643085,0.8,293.20006488064104,823.3443570360558,155.31379230669842,121.72454092700323,45.15588880072796
S-S2,500.0,37576,39046,501.55761430703933,147.0,12.283043615682596,0.8,354.4341936865529,460.0645689586388,70.51281857646491,7.417255909966852,44.26028649122993
S-S2,500.0,37846,39586,532.492986447407,174.0,11.017096271325663,0.8312475618720699,289.8942310101162,437.8305460349296,203.49471897048,6.574261811188759,78.18789451375851
S-S2,500.0,39046,39857,596.646374203694,81.09999999999991,26.484919200164008,0.8,263.3199088279481,548.8328587387887,100.51097593098797,9.033065012574072,39.95867374711651
S-S2,500.0,39496,40126,532.7253410388803,63.0,30.44144805936459,0.8,341.9046664878904,964.6713778988283,200.08453966944768,11.09622161338647,53.21383430565639
S-S2,500.0,39857,40486,592.3190262769349,62.90000000000009,33.900611996772064,0.8,590.1089503955798,378.37115447072154,179.50996434945472,6.939900226191154,24.840525396646278
S-S2,500.0,40126,41007,540.9798635455772,88.09999999999945,22.105874106289335,0.8,526.2113813324631,32.37137059489831,15.524020453157352,6.8585626163144715,89.06198446947201
S-S2,500.0,40396,41457,552.6872098707609,106.09999999999945,18.75281767704759,0.8,465.0420345955437,441.02397535538915,130.55072697388997,5.561673265202208,8.396669802557199
S-S2,500.0,40576,41637,619.1209572530825,106.09999999999945,21.006931631584436,0.815698352088651,564.1265925774782,988.8891752799682,111.07489717441561,7.301423081740084,24.453908994571794
S-S2,500.0,41367,41908,579.2136481403904,54.100000000000364,38.54286752875031,0.8284407709152347,560.4729380275561,178.06652040593445,59.593158335091516,4.812521387910207,148.77822824674396
S-S2,500.0,41637,42446,576.6489429414141,80.90000000000055,25.660521564759915,0.9071426262748287,569.9537017478415,252.30395125359436,226.6009231077705,5.495037896888334,151.729761219503
S-S2,500.0,41908,42716,504.9595888590193,80.80000000000018,22.49819950361962,0.9004070102755672,496.1963784150322,333.09748902246736,283.3963745761138,7.964331350621596,204.66860597032365
S-S2,500.0,42266,42986,590.5103283401331,72.0,29.525516417006656,0.8,487.46681503957825,539.7028003242473,149.36363067912296,9.93677964787523,0.6342848512267951
S-S2,500.0,42536,43166,554.9483705904968,63.0,31.711335462314103,0.8323495902925626,494.4808757489847,483.0957961493011,119.01415861931203,5.850181083127273,5.1132299039551325
S-S2,500.0,42896,43436,539.3870399328043,54.0,35.95913599552029,0.8,537.9986022525983,179.71802763596773,136.66586410528706,1.6830546846656966,1.5246240490064669
S-S2,500.0,43166,43708,752.0077510082119,54.19999999999982,49.948854310508715,0.8,633.1702248940737,591.0817925861608,20.038236033510067,3.890290155526633,165.7726118170669
S-S2,500.0,43436,43708,513.2551328118934,27.199999999999818,67.93082640157458,0.8,486.2064877506301,480.9886305866229,129.24761571681867,3.7820406780643063,205.89961799784186
S-S2,500.0,43616,43978,621.9019900719322,36.19999999999982,61.84660674748529,0.8133262985263541,617.491895954695,230.61965419942555,226.35014476510236,0.7590156786786153,298.987874607182
S-S2,500.0,43708,44456,573.0224690175601,74.80000000000018,27.578621503518868,0.9299092136470676,569.249404083317,121.28038321900286,38.8726195538753,3.805978119064103,5.6563350093386076
S-S2,500.0,43978,44547,514.7076061774533,56.899999999999636,32.56498035569145,1.0266990182932914,514.3940548661936,50.230395325144926,48.482820665026686,5.187264846700692,36.0716917962522
S-S2,500.0,44366,44727,541.6281549492633,36.099999999999454,54.0127799949412,0.9844880013110975,541.4689127472137,114.59882141342534,113.9650781316732,5.584343523178735,120.60657736266405
S-S2,500.0,44547,45296,552.6321307218932,74.90000000000055,26.561757951919905,1.1918634119385245,551.9643612374937,49.60746915905071,42.694497294700966,3.703270340612527,55.33551953849852
S-S2,500.0,44727,45666,525.7849519206356,93.90000000000055,20.157889530503486,1.1885236157933965,524.2614400650813,100.40603695985634,15.407031440982909,2.099130141722478,117.32451356058942
S-S2,500.0,45116,45847,582.9794978180507,73.09999999999945,28.710344625786572,1.0944100465286701,581.1276676217019,141.897004626986,131.11465364128193,1.2905622423428107,88.37040592139988
S-S2,500.0,45576,46207,580.4055566517163,63.099999999999454,33.11347074399678,1.142229122598758,579.5835354029099,142.32117951763706,36.58011991677278,1.5826350333312051,124.4603064264789
S-S2,500.0,45847,46386,541.3576119580684,53.900000000000546,36.157465733748175,1.2210234690541515,539.9414314262343,67.48349401920406,28.01493815171481,2.0811676962465318,153.86401494219766
S-S2,500.0,46207,46747,507.6163249801757,54.0,33.841088332011715,0.975816129953927,507.5592348656307,141.2576166667421,129.19014770652652,0.9420061466162187,138.34464684504917
S-S2,500.0,46386,47286,526.3524730602076,90.0,21.054098922408304,1.0579296345325053,279.25965941454683,601.3244073390367,1.2468456445200806,10.37594402798814,28.934222237952103
S-S2,500.0,46476,47656,539.8835272186334,118.0,16.47102286429729,1.064052421739369,195.4003140429454,708.5283721814733,126.46599818869065,13.607537886195955,168.27690042289925
S-S2,500.0,47016,48106,517.0439961661723,109.0,17.076682442185508,1.004635511874019,160.61783713795404,848.5433516118161,492.49468127407573,341.53903481621643,492.49468127407573
S-S2,500.0,47566,48286,587.003483585162,72.0,29.350174179258104,0.9609213660296023,443.32923578411925,235.9306945244529,92.48399475345128,4.601999748419726,65.88042054005007
S-S2,500.0,48016,48467,556.4027337742082,45.099999999999454,44.41352198641184,0.8056702593333487,545.9761120885707,876.7757742625997,5.72337546361061,4.729071183834499,103.29764929531999
S-S2,500.0,48286,48647,515.1920280550949,36.099999999999454,51.37649033236481,0.8202553082586932,515.0173756130084,136.3441828766156,93.70111229036814,2.495358453698805,169.61904921402788
S-S2,500.0,48467,48916,502.8193890109942,44.900000000000546,40.3151403215937,0.8395458573327353,486.54262120159,138.71242242755676,131.53142157406302,2.9442065778696858,187.46053615550798
S-S2,500.0,48647,49276,624.3988464002723,62.900000000000546,35.73665893546838,0.9906334206169506,589.1401088170948,215.06113800060092,52.7640970690171,2.2809095422318366,58.12275992489779
S-S2,500.0,48826,49366,696.0233370282767,54.0,46.40155580188512,1.016887180682712,688.6080159938066,757.86720003252,127.38308668490355,0.3993521752466038,117.78400421344297
S-S2,500.0,49186,49456,613.4082219987213,27.0,81.78776293316284,1.0613377477830281,611.95556221213,239.47809932710496,239.1478223784729,5.6973187251581034,216.25689364828278
S-S2,500.0,49366,49637,511.49003013373294,27.100000000000364,67.94701507311491,1.2258046484320242,511.33040248675695,132.76519543645452,115.89172271886247,7.213756195366449,27.46117169882412
S-S2,500.0,49456,49816,530.7422106740851,36.0,53.07422106740851,1.2479387942672322,530.1816535565339,42.02292335472093,40.71253144941661,3.548675036172349,81.19256113973077
S-S2,500.0,49546,49996,551.1195552685822,45.0,44.08956442148658,1.25,546.5047787904383,189.17113445696094,35.62366457332857,2.503857788695633,182.40826258624386
S-S2,500.0,49726,50087,536.9196704924616,36.100000000000364,53.54323583858289,1.25,524.9215810029382,149.99638265018962,68.87343649702872,1.7840306239595503,48.56031894606605
S-S2,500.0,49906,50356,560.2268339462607,45.0,44.818146715700856,1.1854503889366017,535.6854406883207,166.372495174362,61.841619259767114,5.632721994040776,177.7943908534756
S-S2,500.0,50087,50626,621.8523532720865,53.899999999999636,41.53373788088175,1.205959232302903,604.7417994666523,297.73656864666475,175.32385284223204,8.452350927740257,340.27199128572875
S-S2,500.0,50356,50716,502.9811806520156,36.0,50.298118065201564,1.1317805319105583,496.57009193705096,47.93545299799668,29.516074955724086,9.681797382656478,98.07813991242588
