time,seconds_elapsed,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
195981198147986,162.948823,2.75,6.31,147.0,574.5,75.1268514,15.3676497
195982191006639,163.941682,2.666,6.3599997,151.0,574.5,75.1268801,15.3675978
195983194140369,164.944815,2.583,5.87,157.0,574.5,75.126905,15.3675441
195984206709253,165.957384,2.5,5.13,166.0,574.5,75.1269223,15.3674949
195985186801022,166.937476,2.5,5.2,174.0,574.5,75.1269198,15.3674489
195986190607906,167.941283,2.5,4.81,175.0,574.5,75.1269162,15.3674034
195987190959251,168.941634,2.5,4.6,178.0,574.5,75.1269136,15.3673617
195988192483174,169.943158,2.5,4.5499997,179.0,574.5,75.1269071,15.3673213
195989173487557,170.924163,2.5,4.27,175.0,574.5,75.1268984,15.3672812
195990174852788,171.925528,2.5,2.69,177.0,574.5,75.1268923,15.3672498
195991179387518,172.930063,2.5,1.1,176.0,574.5,75.126892,15.3672313
195992198626671,173.949302,2.6,0.96,176.0,574.5,75.126894,15.3672189
195993177042978,174.927718,2.666,1.29,170.0,574.5,75.1268942,15.3672053
195994191166323,175.941841,2.8,1.54,168.0,574.5,75.1268958,15.3671889
195995189657092,176.940332,2.9,2.32,174.0,574.5,75.1268973,15.3671714
195996199854322,177.950529,3.0,2.45,178.0,570.7000122070312,75.1268938,15.3671463
195997189132398,178.939807,3.0,2.6399999,174.0,570.7000122070312,75.1268935,15.3671207
195998195219705,179.945895,3.0,2.25,162.0,570.7000122070312,75.1269069,15.3670958
195999190006704,180.940682,3.0,2.32,153.0,570.7000122070312,75.1269158,15.3670704
196000206595550,181.957271,3.0,2.11,153.0,570.7000122070312,75.1269266,15.3670473
196001186494703,182.937170,3.0,2.12,154.0,570.7000122070312,75.1269349,15.3670308
196002192483625,183.943159,3.0,1.9399999,156.0,570.7000122070312,75.1269421,15.36701
196003192250394,184.942925,2.916,1.55,151.0,570.7000122070312,75.1269574,15.3669993
196004198600585,185.949276,2.8,1.3399999,139.0,570.7000122070312,75.1269686,15.3669893
196005184247431,186.934922,2.833,1.31,132.0,570.7000122070312,75.1269829,15.3669796
196006198579776,187.949255,2.7,1.39,140.0,570.7000122070312,75.126996,15.3669696
196007182779083,188.933454,2.666,1.49,140.0,570.7000122070312,75.1270021,15.3669559
196008194630313,189.945305,2.6,1.52,135.0,570.7000122070312,75.127013,15.3669393
196009190755928,190.941431,2.583,2.36,134.0,570.7000122070312,75.1270273,15.3669266
196010198735735,191.949411,2.5,3.06,127.0,570.7000122070312,75.1270535,15.366907
196011180391619,192.931067,2.517,2.99,124.0,569.5999755859375,75.1270747,15.3668863
196012170493003,193.921168,2.517,3.08,125.0,569.5999755859375,75.1270964,15.3668656
196013175348233,194.926023,2.517,2.9299998,127.0,569.5999755859375,75.1271228,15.3668491
196014172037040,195.922712,2.517,1.28,128.0,569.5999755859375,75.127141,15.3668363
196015181926885,196.932602,2.517,1.05,127.0,569.5999755859375,75.1271524,15.3668302
196016200461077,197.951136,2.5,0.91999996,129.0,569.5999755859375,75.1271571,15.3668185
196017183508230,198.934183,2.5,0.83,134.0,569.5999755859375,75.1271623,15.3668091
196018188674191,199.939349,2.6,0.96999997,134.0,569.5999755859375,75.127166,15.3668053
196019182024151,200.932699,2.6,0.95,136.0,569.5999755859375,75.1271667,15.3668004
196020194486574,201.945162,2.6,1.3399999,137.0,569.5999755859375,75.1271729,15.3667937
196021187384958,202.938060,2.595,1.4699999,137.0,569.5999755859375,75.1271846,15.3667821
196022180370880,203.931046,2.595,1.31,136.0,569.5999755859375,75.1271996,15.3667727
196023206986956,204.957662,2.611,1.53,139.0,569.5999755859375,75.1272125,15.3667637
196024177983686,205.928659,2.667,1.15,142.0,569.5999755859375,75.1272223,15.3667608
196025187928993,206.938604,2.667,1.01,151.0,569.5999755859375,75.1272321,15.366758
196026197455762,207.948131,2.7,0.84,158.0,569.5999755859375,75.1272516,15.3667611
196027172165684,208.922841,2.666,0.28,165.0,569.5999755859375,75.1272597,15.3667573
196028174662799,209.925338,2.666,0.19,170.0,569.5999755859375,75.1272624,15.3667613
196029175996529,210.926672,2.583,0.0,0.0,569.5999755859375,75.1272627,15.3667614
196030204981451,211.955656,2.4,0.14999999,170.0,569.2999877929688,75.1272708,15.366763
196031180691258,212.931366,2.333,0.14999999,170.0,569.2999877929688,75.1272732,15.3667659
196032174090373,213.924765,2.2,0.0,0.0,569.2999877929688,75.1272731,15.3667656
196033185464795,214.936140,2.1,0.0,0.0,569.2999877929688,75.1272731,15.3667656
196034178197064,215.928872,2.0,0.0,0.0,569.2999877929688,75.1272731,15.3667656
196035167831140,216.918506,2.0,0.0,0.0,569.2999877929688,75.1272731,15.3667656
196036183913985,217.934589,2.0,0.0,0.0,569.2999877929688,75.1272731,15.3667656
196037180139562,218.930815,2.0,0.01,0.0,569.2999877929688,75.127279,15.366763
196038188385176,219.939060,2.0,0.0,0.0,569.2999877929688,75.1272791,15.3667629
196039178129560,220.928805,2.424,0.0,0.0,569.2999877929688,75.1272791,15.3667629
196040175124906,221.925800,2.495,0.0,0.0,569.2999877929688,75.1272791,15.3667629
196041177315636,222.927991,2.424,0.0,0.0,569.2999877929688,75.1272791,15.3667629
