held_out,draw,scenario,shape_median_m,shape_p95_m,drift_pct
94CC_6RQ-2026-08-30_16-34-04,2,1 contributor,2.6621629234000914,5.296181083796637,1.0540201421735769
94CC_6RQ-2026-08-30_16-34-04,2,3 contributors,1.9605084908968469,5.413920770455704,1.1928147137966458
94CC_6RQ-2026-08-30_16-34-04,2,faulty contributor alone,5.569632341502095,38.13905821319722,18.035376836155592
94CC_6RQ-2026-08-30_16-34-04,2,"3 incl. faulty, averaged",3.8744198547555806,11.943746201385713,3.417046573145505
94CC_6RQ-2026-08-30_16-34-04,2,"3 incl. faulty, median",1.8656969709952311,5.416938735596787,0.81654633700532
94CC_6RQ-2026-08-30_16-34-04,3,1 contributor,5.670470093141337,12.24688679534302,8.742396950623863
94CC_6RQ-2026-08-30_16-34-04,3,3 contributors,1.7000529074296922,6.8227671167894615,0.7404210717126302
94CC_6RQ-2026-08-30_16-34-04,3,faulty contributor alone,2.9053881822235104,39.96035325556071,17.059660406621575
94CC_6RQ-2026-08-30_16-34-04,3,"3 incl. faulty, averaged",5.227530302027826,15.760833313309664,8.058930594662476
94CC_6RQ-2026-08-30_16-34-04,3,"3 incl. faulty, median",2.9086038355194552,10.183594480549894,7.2960494505831575
94CC_6RQ-2026-08-30_16-34-04,4,1 contributor,1.1823254095504945,4.468363518002533,3.86337506787795
94CC_6RQ-2026-08-30_16-34-04,4,3 contributors,1.3914006035336413,4.000557695777471,1.4041955494660474
94CC_6RQ-2026-08-30_16-34-04,4,faulty contributor alone,2.819231434160457,40.398906802146975,11.814587084463174
94CC_6RQ-2026-08-30_16-34-04,4,"3 incl. faulty, averaged",2.034916011393592,12.580096947683069,3.416411565323646
94CC_6RQ-2026-08-30_16-34-04,4,"3 incl. faulty, median",1.4701623391202285,3.998256758173319,1.4314547863649916
94CC_6RQ-2026-08-30_16-34-04,5,1 contributor,1.779467646377867,4.8062496947698055,2.729372301398019
94CC_6RQ-2026-08-30_16-34-04,5,3 contributors,1.7954664075615177,5.332026646229017,1.5669217595270533
94CC_6RQ-2026-08-30_16-34-04,5,faulty contributor alone,4.865731241970043,41.190960087772034,9.724694362102067
94CC_6RQ-2026-08-30_16-34-04,5,"3 incl. faulty, averaged",3.805935394151418,14.560634154092181,3.231143575318779
94CC_6RQ-2026-08-30_16-34-04,5,"3 incl. faulty, median",2.232684037176937,5.4304586187559725,1.633932057452079
94CC_6RQ-2026-08-30_16-34-04,6,1 contributor,2.6621629234000914,5.296181083796637,1.0540201421735769
94CC_6RQ-2026-08-30_16-34-04,6,3 contributors,3.095461506426027,7.638070863878554,1.0406613635553694
94CC_6RQ-2026-08-30_16-34-04,6,faulty contributor alone,6.858907213662777,48.71412942447908,8.724773451669229
94CC_6RQ-2026-08-30_16-34-04,6,"3 incl. faulty, averaged",4.0548144666014485,19.7965994500408,2.43103124335021
94CC_6RQ-2026-08-30_16-34-04,6,"3 incl. faulty, median",3.1153625414029853,7.638070863878554,1.0406613635553694
94CC_6RQ-2026-08-30_16-34-04,7,1 contributor,1.4848651576752947,4.302395466222596,0.9400416531843746
94CC_6RQ-2026-08-30_16-34-04,7,3 contributors,1.6188157342316638,6.195946126143994,0.7142545553156413
94CC_6RQ-2026-08-30_16-34-04,7,faulty contributor alone,5.007753527902262,41.551258951732756,9.87174323716161
94CC_6RQ-2026-08-30_16-34-04,7,"3 incl. faulty, averaged",4.036251414073449,14.347329433692666,3.17558457609664
94CC_6RQ-2026-08-30_16-34-04,7,"3 incl. faulty, median",1.755530508814796,5.960800304985407,0.7197185845122521
94CC_6RQ-2026-08-30_16-34-04,8,1 contributor,1.779467646377867,4.8062496947698055,2.729372301398019
94CC_6RQ-2026-08-30_16-34-04,8,3 contributors,2.2878050396954897,5.737074015745931,1.6251323850542923
94CC_6RQ-2026-08-30_16-34-04,8,faulty contributor alone,4.986509277664774,41.43969217598352,10.049510223579883
94CC_6RQ-2026-08-30_16-34-04,8,"3 incl. faulty, averaged",3.5510017068430146,14.94645711451208,3.3420999519914507
94CC_6RQ-2026-08-30_16-34-04,8,"3 incl. faulty, median",2.46247830771435,5.701743490884929,1.6251323850542923
94CC_6RQ-2026-08-30_16-34-04,9,1 contributor,1.1823254095504945,4.468363518002533,3.86337506787795
94CC_6RQ-2026-08-30_16-34-04,9,3 contributors,1.5530817820800085,4.178056071564262,4.062183509957226
94CC_6RQ-2026-08-30_16-34-04,9,faulty contributor alone,10.652714938977583,48.724336136423254,12.880709793669421
94CC_6RQ-2026-08-30_16-34-04,9,"3 incl. faulty, averaged",4.109023964102302,18.012368776614757,2.949948607394717
94CC_6RQ-2026-08-30_16-34-04,9,"3 incl. faulty, median",1.3174769441703764,3.8658438787847618,1.6245341478534039
94CC_6RQ-2026-08-30_16-34-04,10,1 contributor,5.670470093141337,12.24688679534302,8.742396950623863
94CC_6RQ-2026-08-30_16-34-04,10,3 contributors,4.8691342792654515,8.295397443757087,9.934651367821372
94CC_6RQ-2026-08-30_16-34-04,10,faulty contributor alone,4.865731241970043,41.16571091630498,9.662697482052454
94CC_6RQ-2026-08-30_16-34-04,10,"3 incl. faulty, averaged",7.213333265428571,18.2505665880012,10.328334814514264
94CC_6RQ-2026-08-30_16-34-04,10,"3 incl. faulty, median",5.2398343962327605,8.299970244264467,9.934651367821372
94CC_6RQ-2026-08-30_16-34-04,11,1 contributor,2.996765857071145,9.350767330519332,0.8040778364440779
94CC_6RQ-2026-08-30_16-34-04,11,3 contributors,1.7000529074296922,6.8227671167894615,0.7404210717126302
94CC_6RQ-2026-08-30_16-34-04,11,faulty contributor alone,2.2680330090403826,43.721595105084916,9.74753161996585
94CC_6RQ-2026-08-30_16-34-04,11,"3 incl. faulty, averaged",4.831822874618472,17.216409195686733,4.58997186678595
94CC_6RQ-2026-08-30_16-34-04,11,"3 incl. faulty, median",3.1248074666699934,7.000313662213072,1.1074462991854725
94CC_6RQ-2026-08-30_16-34-04,12,1 contributor,3.733229592437325,8.555592720346722,0.9867586106571152
94CC_6RQ-2026-08-30_16-34-04,12,3 contributors,2.1202883612047905,7.393933038914315,0.6631740563775526
94CC_6RQ-2026-08-30_16-34-04,12,faulty contributor alone,6.30163763792448,41.33620415239836,9.110360432704484
94CC_6RQ-2026-08-30_16-34-04,12,"3 incl. faulty, averaged",4.520110572820211,15.872498957484071,3.171001792800423
94CC_6RQ-2026-08-30_16-34-04,12,"3 incl. faulty, median",2.854156581461178,6.994582476648575,0.517754829198876
94CC_6RQ-2026-08-30_16-34-04,13,1 contributor,5.202947832008885,35.29204787656577,1.3244170675103022
94CC_6RQ-2026-08-30_16-34-04,13,3 contributors,4.505918382957623,7.787459674454968,0.8877008434022476
94CC_6RQ-2026-08-30_16-34-04,13,faulty contributor alone,6.501630848364509,40.56193144167277,12.904562522416711
94CC_6RQ-2026-08-30_16-34-04,13,"3 incl. faulty, averaged",6.595931114344236,15.522079095707143,3.3980800159403457
94CC_6RQ-2026-08-30_16-34-04,13,"3 incl. faulty, median",4.7373010254389945,7.7846345532857875,1.238671332199046
94CC_6RQ-2026-08-30_16-34-04,14,1 contributor,5.231413159162709,48.7316884130689,9.206507344394796
94CC_6RQ-2026-08-30_16-34-04,14,3 contributors,2.8141686950655185,7.867913490355204,0.7873830124662692
94CC_6RQ-2026-08-30_16-34-04,14,faulty contributor alone,6.501630848364509,44.27543118867475,6.910904027661919
94CC_6RQ-2026-08-30_16-34-04,14,"3 incl. faulty, averaged",5.858397811615705,18.44268286631623,2.7750825659973657
94CC_6RQ-2026-08-30_16-34-04,14,"3 incl. faulty, median",2.9887020742611,8.151430402380615,0.7963765660076212
94CC_6RQ-2026-08-30_16-34-04,15,1 contributor,5.670470093141337,12.24688679534302,8.742396950623863
94CC_6RQ-2026-08-30_16-34-04,15,3 contributors,2.1306820283683168,6.567150752626451,0.4755116827217451
94CC_6RQ-2026-08-30_16-34-04,15,faulty contributor alone,3.5797089129359416,37.82019652624966,9.322594518339972
94CC_6RQ-2026-08-30_16-34-04,15,"3 incl. faulty, averaged",5.48724882534293,14.679495144299112,3.927787486157611
94CC_6RQ-2026-08-30_16-34-04,15,"3 incl. faulty, median",3.4968441112912307,6.991246636830916,0.8568494471487154
94CC_6RQ-2026-08-30_16-34-04,16,1 contributor,5.670470093141337,12.24688679534302,8.742396950623863
94CC_6RQ-2026-08-30_16-34-04,16,3 contributors,1.4684032609191484,6.865701142932772,5.19693589055192
94CC_6RQ-2026-08-30_16-34-04,16,faulty contributor alone,5.007753527902262,39.329423309108186,6.530572736297366
94CC_6RQ-2026-08-30_16-34-04,16,"3 incl. faulty, averaged",4.420244443814562,15.30614726586778,9.458242073648105
94CC_6RQ-2026-08-30_16-34-04,16,"3 incl. faulty, median",4.514966477902864,7.258234164140312,9.72124707777172
94CC_6RQ-2026-08-30_16-34-04,17,1 contributor,5.202947832008885,35.29204787656577,1.3244170675103022
94CC_6RQ-2026-08-30_16-34-04,17,3 contributors,3.981036780723427,7.008123398970363,0.7277004040342447
94CC_6RQ-2026-08-30_16-34-04,17,faulty contributor alone,6.501630848364509,44.31432499679934,6.928290576443848
94CC_6RQ-2026-08-30_16-34-04,17,"3 incl. faulty, averaged",6.343748036196266,17.66685648564164,3.8299283535162947
94CC_6RQ-2026-08-30_16-34-04,17,"3 incl. faulty, median",4.689615283173343,7.175334393033003,1.4688535835929974
94CC_6RQ-2026-08-30_16-34-04,18,1 contributor,5.231413159162709,48.7316884130689,9.206507344394796
94CC_6RQ-2026-08-30_16-34-04,18,3 contributors,2.6333296025914827,8.247013248191093,0.9002460333376192
94CC_6RQ-2026-08-30_16-34-04,18,faulty contributor alone,4.737626630084894,39.31454976239357,12.66081304549105
94CC_6RQ-2026-08-30_16-34-04,18,"3 incl. faulty, averaged",6.838239720124697,19.315664322211376,3.8322879632175395
94CC_6RQ-2026-08-30_16-34-04,18,"3 incl. faulty, median",2.403584073616562,8.152636906754523,0.618992568476795
94CC_6RQ-2026-08-30_16-34-04,19,1 contributor,5.231413159162709,48.7316884130689,9.206507344394796
94CC_6RQ-2026-08-30_16-34-04,19,3 contributors,2.386541957880182,5.093434086489312,1.1550321815027829
94CC_6RQ-2026-08-30_16-34-04,19,faulty contributor alone,3.7310031873868414,37.89720151026314,9.255774872239355
94CC_6RQ-2026-08-30_16-34-04,19,"3 incl. faulty, averaged",4.26634457241259,17.703550504872627,2.7536354693811456
94CC_6RQ-2026-08-30_16-34-04,19,"3 incl. faulty, median",2.2613097901495807,4.977100433189195,1.2385686951197241
94CC_6RQ-2026-08-30_16-39-43,0,1 contributor,6.225461432543466,9.157389082554186,10.734536025932181
94CC_6RQ-2026-08-30_16-39-43,0,3 contributors,2.8293760609373377,5.847813667815543,2.038904470794339
94CC_6RQ-2026-08-30_16-39-43,0,faulty contributor alone,5.366472101866985,42.10656851247967,16.98623599075072
94CC_6RQ-2026-08-30_16-39-43,0,"3 incl. faulty, averaged",3.704037832971601,16.941814061547532,10.350054808789753
94CC_6RQ-2026-08-30_16-39-43,0,"3 incl. faulty, median",3.6161144849641285,8.245901597329606,9.109625764481908
